country,cur_gov_aq_mon_2024,cur_gov_aq_mon_2022,pub_acc_data_in_country_only,ful_trans,par_trans,physical_data_av,st_lev_and_coord_av,timely_fine_scale_av,prog_acess_av,data_sharing_status
afghanistan,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
angola,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
albania,no,yes,no,NA,NA,NA,NA,NA,NA,Do not monitor
andorra,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
united arab emirates,yes,yes,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
argentina,yes,yes,yes,no,yes,yes,no,yes,no,Monitor: share data partially
armenia,yes,yes,yes,no,yes,yes,no,yes,no,Monitor: share data partially
antigua and barbuda,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
australia,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
austria,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
azerbaijan,yes,yes,yes,no,yes,yes,no,no,no,Monitor: share data partially
burundi,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
belgium,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
benin,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
burkina faso,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
bangladesh,yes,yes,yes,no,yes,no,no,yes,no,Monitor: share data partially
bulgaria,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
bahrain,yes,yes,no,NA,NA,NA,NA,NA,NA,Monitor: do not share data
the bahamas,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
bosnia and herzegovina,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
belarus,yes,yes,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
belize,yes,no,no,NA,NA,NA,NA,NA,NA,Monitor: do not share data
bolivia,yes,yes,yes,no,yes,yes,yes,no,no,Monitor: share data partially
brazil,yes,yes,yes,no,yes,yes,no,yes,no,Monitor: share data partially
barbados,yes,yes,no,NA,NA,NA,NA,NA,NA,Monitor: do not share data
brunei,yes,yes,yes,no,yes,no,no,yes,no,Monitor: share data partially
bhutan,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
botswana,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
central african republic,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
canada,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
switzerland,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
chile,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
china,yes,yes,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
ivory coast,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
cameroon,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
democratic republic of the congo,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
republic of congo,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
colombia,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
comoros,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
cape verde,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
costa rica,yes,yes,no,NA,NA,NA,NA,NA,NA,Monitor: do not share data
cuba,no,yes,no,NA,NA,NA,NA,NA,NA,Do not monitor
czech republic,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
germany,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
djibouti,yes,no,yes,no,yes,yes,yes,yes,no,Monitor: share data partially
dominica,no,no,no,NA,NA,NA,NA,NA,NA,Do not monitor
denmark,yes,yes,yes,yes,NA,yes,yes,yes,yes,Monitor: share data fully
