"iso3","country","pollutant_name","duration","aqs_numeric","aqs_slices"
"AFG","Afghanistan","CO","15m",NA,"Data not available"
"AFG","Afghanistan","CO","1h",NA,"Data not available"
"AFG","Afghanistan","CO","24h",NA,"Data not available"
"AFG","Afghanistan","CO","8h",NA,"Data not available"
"AFG","Afghanistan","NO2","1h",NA,"Data not available"
"AFG","Afghanistan","NO2","24h",NA,"Data not available"
"AFG","Afghanistan","NO2","yr",NA,"Data not available"
"AFG","Afghanistan","O3","8h",NA,"Data not available"
"AFG","Afghanistan","PM10","24h",NA,"Data not available"
"AFG","Afghanistan","PM10","yr",NA,"Data not available"
"AFG","Afghanistan","PM25","24h",NA,"Data not available"
"AFG","Afghanistan","PM25","yr",NA,"Data not available"
"AFG","Afghanistan","SO2","10m",NA,"Data not available"
"AFG","Afghanistan","SO2","24h",NA,"Data not available"
"ALB","Albania","CO","15m",NA,"Data not available"
"ALB","Albania","CO","1h",NA,"Data not available"
"ALB","Albania","CO","24h",4000,"≤4,000"
"ALB","Albania","CO","8h",10000,"≤10,000"
"ALB","Albania","NO2","1h",200,"≤200"
"ALB","Albania","NO2","24h",50,">25 to 50"
"ALB","Albania","NO2","yr",20,">10 to 20"
"ALB","Albania","O3","8h",120,">100 to 120"
"ALB","Albania","PM10","24h",45,"≤45"
"ALB","Albania","PM10","yr",20,">15 to 20"
"ALB","Albania","PM25","24h",25,">15 to 25"
"ALB","Albania","PM25","yr",10,">5 to 10"
"ALB","Albania","SO2","10m",NA,"Data not available"
"ALB","Albania","SO2","24h",50,">40 to 50"
"DZA","Algeria","CO","15m",NA,"Data not available"
"DZA","Algeria","CO","1h",NA,"Data not available"
"DZA","Algeria","CO","24h",NA,"Data not available"
"DZA","Algeria","CO","8h",NA,"Data not available"
"DZA","Algeria","NO2","1h",NA,"Data not available"
"DZA","Algeria","NO2","24h",NA,"Data not available"
"DZA","Algeria","NO2","yr",200,">40"
"DZA","Algeria","O3","8h",NA,"Data not available"
"DZA","Algeria","PM10","24h",NA,"Data not available"
"DZA","Algeria","PM10","yr",NA,"Data not available"
"DZA","Algeria","PM25","24h",NA,"Data not available"
"DZA","Algeria","PM25","yr",80,">35"
"DZA","Algeria","SO2","10m",NA,"Data not available"
"DZA","Algeria","SO2","24h",NA,"Data not available"
"ASM","American Samoa","CO","15m",NA,"Data not available"
"ASM","American Samoa","CO","1h",NA,"Data not available"
"ASM","American Samoa","CO","24h",40,"≤4,000"
"ASM","American Samoa","CO","8h",10,"≤10,000"
"ASM","American Samoa","NO2","1h",NA,"Data not available"
"ASM","American Samoa","NO2","24h",NA,"Data not available"
"ASM","American Samoa","NO2","yr",100,">40"
"ASM","American Samoa","O3","8h",NA,"Data not available"
"ASM","American Samoa","PM10","24h",60,">50 to 75"
"ASM","American Samoa","PM10","yr",150,">70"
"ASM","American Samoa","PM25","24h",NA,"Data not available"
"ASM","American Samoa","PM25","yr",NA,"Data not available"
"ASM","American Samoa","SO2","10m",NA,"Data not available"
"ASM","American Samoa","SO2","24h",260,">125"
"AND","Andorra","CO","15m",NA,"Data not available"
"AND","Andorra","CO","1h",NA,"Data not available"
"AND","Andorra","CO","24h",NA,"Data not available"
"AND","Andorra","CO","8h",10000,"≤10,000"
"AND","Andorra","NO2","1h",200,"≤200"
"AND","Andorra","NO2","24h",NA,"Data not available"
"AND","Andorra","NO2","yr",40,">30 to 40"
"AND","Andorra","O3","8h",120,">100 to 120"
"AND","Andorra","PM10","24h",50,">45 to 50"
"AND","Andorra","PM10","yr",40,">30 to 50"
"AND","Andorra","PM25","24h",NA,"Data not available"
"AND","Andorra","PM25","yr",20,">15 to 25"
"AND","Andorra","SO2","10m",NA,"Data not available"
"AND","Andorra","SO2","24h",125,">50 to 125"
"AGO","Angola","CO","15m",NA,"Data not available"
"AGO","Angola","CO","1h",NA,"Data not available"
"AGO","Angola","CO","24h",NA,"Data not available"
"AGO","Angola","CO","8h",NA,"Data not available"
"AGO","Angola","NO2","1h",NA,"Data not available"
"AGO","Angola","NO2","24h",NA,"Data not available"
"AGO","Angola","NO2","yr",NA,"Data not available"
"AGO","Angola","O3","8h",NA,"Data not available"
"AGO","Angola","PM10","24h",NA,"Data not available"
"AGO","Angola","PM10","yr",NA,"Data not available"
"AGO","Angola","PM25","24h",NA,"Data not available"
"AGO","Angola","PM25","yr",NA,"Data not available"
"AGO","Angola","SO2","10m",NA,"Data not available"
"AGO","Angola","SO2","24h",NA,"Data not available"
"AIA","Anguilla","CO","15m",NA,"Data not available"
"AIA","Anguilla","CO","1h",NA,"Data not available"
"AIA","Anguilla","CO","24h",NA,"Data not available"
"AIA","Anguilla","CO","8h",NA,"Data not available"
"AIA","Anguilla","NO2","1h",NA,"Data not available"
"AIA","Anguilla","NO2","24h",NA,"Data not available"
"AIA","Anguilla","NO2","yr",NA,"Data not available"
"AIA","Anguilla","O3","8h",NA,"Data not available"
"AIA","Anguilla","PM10","24h",NA,"Data not available"
"AIA","Anguilla","PM10","yr",NA,"Data not available"
"AIA","Anguilla","PM25","24h",NA,"Data not available"
"AIA","Anguilla","PM25","yr",NA,"Data not available"
"AIA","Anguilla","SO2","10m",NA,"Data not available"
"AIA","Anguilla","SO2","24h",NA,"Data not available"
"ATG","Antigua and Barbuda","CO","15m",NA,"Data not available"
"ATG","Antigua and Barbuda","CO","1h",29000,"≤35,000"
"ATG","Antigua and Barbuda","CO","24h",NA,"Data not available"
