unique_id,pollutant,iso,longitude,latitude,elevation,area,type,labeled_area,labeled_type
bra_-48.545377_-22.299072,PM,bra,-48.545377,-22.299072,,urban,background,1.0,0.0
ita_12.666389000000002_42.74333299999999,PM,ita,12.666389000000002,42.74333299999999,318.0,urban,non-background,1.0,1.0
bra_-46.200217737_-23.52226044,PM,bra,-46.200217737,-23.52226044,,urban,background,0.0,0.0
usa_-77.48925_39.02473,PM,usa,-77.48925,39.02473,88.0,urban,background,1.0,0.0
tha_100.669183_13.785212,PM,tha,100.669183,13.785212,,urban,non-background,0.0,0.0
chn_102.7997_24.9786,PM,chn,102.7997,24.9786,,urban,non-background,0.0,0.0
ind_72.9419_19.175,PM,ind,72.9419,19.175,,urban,background,0.0,0.0
chn_120.6153_30.0764,PM,chn,120.6153,30.0764,,urban,background,0.0,0.0
tha_100.685743_13.768892,PM,tha,100.685743,13.768892,,urban,background,0.0,0.0
mex_-99.202814722222_19.454846388889,PM,mex,-99.202814722222,19.454846388889,2275.0,urban,non-background,0.0,0.0
usa_-106.64927_35.2022,PM,usa,-106.64927,35.2022,1530.0,urban,background,1.0,0.0
col_-75.5972061_6.1856666,PM,col,-75.5972061,6.1856666,,urban,background,0.0,0.0
tha_100.595839_13.873603,PM,tha,100.595839,13.873603,,urban,background,0.0,0.0
usa_-115.534156_32.978379,PM,usa,-115.534156,32.978379,0.0,urban,background,1.0,0.0
usa_-122.399044_37.765946,PM,usa,-122.399044,37.765946,5.0,urban,background,1.0,0.0
usa_-115.53917_32.97833,PM,usa,-115.53917,32.97833,0.0,urban,background,1.0,0.0
ind_77.7622941_28.9535882,PM,ind,77.7622941,28.9535882,,urban,background,0.0,0.0
bel_4.469321036547797_51.00252596879262,PM,bel,4.469321036547797,51.00252596879262,8.0,urban,background,1.0,1.0
tha_100.579247_13.887395,PM,tha,100.579247,13.887395,,urban,background,0.0,0.0
tha_101.28633329999998_13.588500000000002,PM,tha,101.28633329999998,13.588500000000002,,urban,background,0.0,0.0
